         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6416    2.904    0.000    3.439    0.001 ffi.py:188(__call__)
  1994261    2.316    0.000    2.440    0.000 {built-in method builtins.isinstance}
     1452    1.021    0.001    1.021    0.001 {built-in method sirf._pystir.cSTIR_getImageData}
182832/182782    0.954    0.000    2.772    0.000 {built-in method builtins.any}
    45060    0.942    0.000    7.293    0.000 inspect.py:932(findsource)
133048/21868    0.897    0.000    1.497    0.000 ir.py:317(_rec_list_vars)
    90120    0.890    0.000    3.069    0.000 inspect.py:773(getfile)
   360480    0.729    0.000    1.042    0.000 inspect.py:823(<genexpr>)
    90120    0.653    0.000    7.609    0.000 inspect.py:813(getsourcefile)
      817    0.615    0.001    0.615    0.001 {built-in method sirf._pystir.cSTIR_setImageData}
    45060    0.581    0.000   12.394    0.000 inspect.py:1604(getframeinfo)
   270360    0.534    0.000    0.750    0.000 inspect.py:820(<genexpr>)
   451381    0.530    0.000    0.530    0.000 {method 'endswith' of 'str' objects}
   225624    0.518    0.000    0.776    0.000 inspect.py:191(isclass)
   180255    0.428    0.000    0.636    0.000 inspect.py:182(ismodule)
   180240    0.425    0.000    0.631    0.000 inspect.py:355(istraceback)
   180240    0.417    0.000    0.619    0.000 inspect.py:365(isframe)
   136151    0.374    0.000    0.374    0.000 {built-in method posix.stat}
    90120    0.332    0.000    3.715    0.000 package_importer.py:726(_patched_getfile)
   135845    0.317    0.000    0.470    0.000 inspect.py:277(isfunction)
   135195    0.315    0.000    0.468    0.000 inspect.py:199(ismethod)
   135180    0.315    0.000    0.466    0.000 inspect.py:379(iscode)
215113/213830    0.253    0.000    0.256    0.000 {built-in method builtins.len}
    45075    0.241    0.000    0.514    0.000 inspect.py:850(getmodule)
    90133    0.230    0.000    0.503    0.000 genericpath.py:16(exists)
29498/1344    0.212    0.000    0.532    0.000 copy.py:128(deepcopy)
     5395    0.208    0.000   12.818    0.002 inspect.py:1643(getouterframes)
    45060    0.202    0.000    0.352    0.000 linecache.py:52(checkcache)
     4704    0.199    0.000    0.328    0.000 Gradients.py:349(direct)
      394    0.199    0.001    0.201    0.001 Gradients.py:608(directional_op)
   153063    0.191    0.000    0.235    0.000 {method 'get' of 'dict' objects}
     4806    0.175    0.000    0.175    0.000 {built-in method torch.diff}
   143198    0.168    0.000    0.168    0.000 {method 'append' of 'list' objects}
     1132    0.162    0.000    0.175    0.000 {built-in method torch.tensor}
