,0
0,6974372.124848028
1,6957997.470455527
2,6950299.086919436
3,6946596.39197542
4,6944575.625954486
5,6943280.352800088
6,6942368.549051437
7,6941697.427920346
8,6941195.444527898
9,6940818.739218005
10,6940536.04664292
11,6940325.605125047
12,6940170.479323737
13,6940057.907839519
14,6939978.699407884
15,6939925.118924013
16,6939890.908440842
17,6939870.946931094
18,6939861.689878848
19,6939860.828697463
20,6939866.455486086
21,6939877.123497769
22,6939891.592363809
23,6939908.8009084985
24,6939927.9835031945
25,6939948.462388963
26,6939969.870653676
27,6939991.788085676
28,6940013.838239296
29,6940035.758784773
30,6940057.366804394
31,6940078.53675493
32,6940099.1573983915
33,6940119.140160272
34,6940138.516744904
35,6940157.326413948
36,6940175.562425687
37,6940193.236999879
38,6940210.390669673
39,6940227.029463505
40,6940243.135794861
41,6940258.714029729
42,6940273.764002371
43,6940288.287373867
44,6940302.293944543
45,6940315.787724951
46,6940328.772261145
47,6940341.259062744
48,6940353.256936551
49,6940364.785617347
50,6940375.863036208
