,0
0,7017741.676135735
1,6977440.029739605
2,6973526.15848392
3,6967530.892040641
4,6967170.679587693
5,6972724.044841638
6,6985417.202039414
7,6989341.688527143
8,6980725.691359447
9,6977463.185189065
10,6970429.5631119525
11,6969548.70925129
12,6976458.9950878
13,6987070.751455885
14,7001522.937702432
15,6977354.088582123
16,6974459.903696765
17,6968327.221177402
18,6969889.685878504
19,6974654.917304187
20,6984175.735268728
21,6994346.441729787
22,6986288.1242083935
23,6979375.664994425
24,6974085.161468726
25,6973341.192939479
26,6977050.24753862
27,6984631.200409374
28,6990605.669173239
29,6986424.756707839
30,6977772.590967081
31,6976567.139982181
32,6973188.572904443
33,6974372.351141926
34,6980829.815571413
35,6991542.459467045
36,6987657.321384314
37,6983238.480567499
38,6979731.315229066
39,6977285.11148544
40,6977361.64766231
41,6980828.094921464
42,6987305.465055222
43,6990045.370607901
44,6981185.541779938
45,6976673.389671143
46,6974078.401064773
47,6971228.318239577
48,6974045.5460218135
49,6981227.325172612
50,6992590.158377224
