,0
0,6974372.124848027
1,6957423.927787185
2,6949779.604815513
3,6946109.820366758
4,6944144.088112995
5,6942861.859345954
6,6941952.61494464
7,6941273.123106144
8,6940763.201241018
9,6940374.045191744
10,6940080.851034379
11,6939860.132761485
12,6939696.819898277
13,6939577.814731454
14,6939494.015061088
15,6939434.354021103
16,6939395.665323341
17,6939371.283137627
18,6939359.047781429
19,6939355.386367945
20,6939358.86807624
21,6939368.125809704
22,6939381.760432899
23,6939398.223645581
24,6939417.589822763
25,6939438.03176519
26,6939459.639761597
27,6939481.676243157
28,6939504.061535761
29,6939526.294121861
30,6939548.100700395
31,6939569.910810364
32,6939591.190724915
33,6939611.857551899
34,6939632.213564039
35,6939651.811191348
36,6939670.812905348
37,6939689.390434569
38,6939707.354072201
39,6939724.79612723
40,6939741.590772124
41,6939757.814650218
42,6939773.519341612
43,6939788.63198359
44,6939803.177237366
45,6939817.207431202
46,6939830.711209992
47,6939843.837979147
48,6939856.459601209
49,6939868.672223063
50,6939880.453127034
